product,title,rating,body
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White","Looks nice, Doesn't keep coffee hot, Lid leaks, don't buy if you want to use it for hot liquids",1.0,"I received my Yeti 20oz with Mugslider lid. Looks great, well built. But after a hour or two, coffee is cold. While driving, the coffee will leak past the lid, and proceed to drip, all over your cars interior. I was hoping for something better. I also liked the information pamphlet that can with the cup talking about liquid viscosity, and how cold liquid is thicker, than hot, so hot liquid will have a tendency to leak around our Mugslider lids. Here's and idea, how about making a lid that doesn't leak when you put hot liquid in a cup???I digress, TLDR don't buy if you want to use it for hot liquid i.e. coffee."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",DO NOT BUY - COUNTERFEIT,1.0,Counterfeit piece of junk!  The rambler pictured shows the magnetic slider lid.  The rambler I received shipped from China and came with a cheap piece of plastic lid with no magnetic closure.  I do not believe the tumbler is even vacuum sealed as hot coffee turns cold in a matter of minutes.  It is deplorable that Amazon allows counterfeit sales like this.
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Not what the package says,1.0,"I ordered the Yeti Rambler 20 oz with the MagSlide Lid. Although the package description says “w/ MagSlide Lid”, the tumbler came with a regular lid. Very disappointing!"
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Fake Yeti Warnings Are Fake,5.0,"I was spooked by the warnings of ''Fake Yeti'' cups.  I don't think any of these are made in Texas any longer, although they once were, hence the warnings about fakes.  My local ACE Hardware sells the complete line of Yeti products.  I checked a bunch of those, and all were ''Fake'' according to some of these warnings.  I decided to order from Amazon simply so I could get the nice aqua-blue color -- and to get the nifty sliding cover, which my ACE does not carry.  The color is beautiful, and the sliding cover is nearly -- though not completely -- leak proof.  The cover seals well enough for my purposes, which is to rest in the truck cup holder.  Yeti makes cups with screw on tops which could be dropped into a backpack.  I could buy one of those from the local ACE if I ever need one.  Photo included.  Notice I have washed the YETI and have removed the cap so that it can evaporate and dry here on the kitchen counter-top in my photo."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Disappointed!,1.0,The product description states it is a yeti cup with a mag slider lid. All that was included was a cheap off brand plastic lid! I ordered two feeling I was getting the mag slider lid as well! Disappointed!
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White","Great cup, great customer service",5.0,"My cup leaks. When I tilt the cup to take a sip the liquid gets under the lid and seal and drips all over me. I'm super bummed. The cup is Super pretty and keeps my cold coffee cold but I just dripped coffee down my shirt and it's not the first time.  I checked about exchanging it and apparently I'm a couple of days late for that. I'd buy this again if it weren't making a mess everywhere and ruining my clothes. I'm assuming this is a glitch because everybody else has such positive reviews. I emailed about an exchange, fingers crossed.EDIT: I wrote an email and got a very quick response. They sent me a new lid and it has changed my life. haha I could tell as soon as I put the lid on that it fit differently and it would seal. And it does! I love my cup, I love their customer service."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Not a magslider. Was also cracked.,1.0,"Came with two lids, but neither was the magslider and both were cracked. Overall, pretty unsatisfied."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Counterfeit,1.0,I purchased a few Yetis stateside which have the real mag slider. This mug is counterfeit from China.
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",You’ll be hooked and buy more,5.0,"Hesitated spending this amt of $$ on a mug especially considering the premium YETI name and outlandish pricing.I finally decided to part with my $$ thinking I’d be swindled by yet another clever marketing ploy. I was pleasantly surprised. Everything on the mug made sense build quality and it does exactly as the brands itself. Whether hot or cold, this mug holds temp for what seems like forever?My only gripe is that you can easily forget how well it maintains hot coffee even after sitting for an hour. So much that if not careful, you can burn your lips from the scalding temp of your coffee.The cleaning is simple and even the tlmfr’s name that this thing is so over-engineered that it can withstand dishwashers to keep it simple.Enjoyed it so much I purchased 6 more as gifts.Still questionable whether I’ll buy a $300 cooler, but the YETI brand has made me a believer."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Pretty darn fantastic,4.0,"This is a really great Tumbler-- it keeps the coffee hot/warm for hours, holds a lot of liquid, is super easy to clean, and really sleek looking.There are a couple of drawbacks, however.--If you have smaller hands, this particular one does not fit comfortably in your hand. This, paired with how heavy it is makes it somewhat difficult to hold during long commutes (mine is about an hour +).--Although it is pretty spill-proof, the top leaks a bit at the mouth portion, even with the magnetic closure closed. Granted, it doesn't spill over the edge, it's just slightly concerning to be on the bus/train and look down to see coffee bubbling up."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",A truly spilling experience.,2.0,"A great looking product that failed its most important operational test;  spillage.  The construction of the tumber is great.  The Yeti ""literature"" is great.  The lid just stinks.  The ""magnet"" concept slipped open during my first use and spilled 20% of my coffee over everything in my briefcase.  The Yeti was upright and securely wedged in place the entire journey, never turning upside down.  If you want to spend alot for a travel mug you can only use at the dinner table, this may work for you.  If you expect a bacic level of leak/spill protection, don't choose this one.  I imagine this would work well enough if you always have a cupholder.  I love the company, but this is a fail.2 stars, because I like the brand and the stainless piece is very high quality.PS - I also tried shaking it upside down with water, and had some additional minor leakage even with the lid secure.  Sad."
"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, White",Love it!,5.0,This 20 oz. tumbler keeps my coffee hot for at least 4 hours.  After that it’s starts to cool a little. I take it to work everyday. Loved it so much bought one for my husband. I recommend this product
